              DRT4 Data File V2.0
============================================================
1) Subject Information
Subject Name:  
Subject No:  
Date of Birth:  
Subject Address:  
Operator:   
Date: 11:05:31 (30/4/2012) 
DRT4 Serial Number: #3021 
Comment:  
2) Monitor Schedule
Indefinite monitoring until stopped by user
3) Display Configuration
Total Graph Number: 1 
Active Graph Number: 1 
Sampling Rate:   8/sec 
Time Constant: off 
Time Offset: 0.062 sec 
Total Mark Number: 0 
Active Mark Number: 1 
No: 	Hour	Min	Sec	Label	Comment	Current	Heater1	Heater2
4) Trace Data
No: 	Hour 	Min 	Sec 	F1 	F2 
1	0	0	0.000	  0.0	 30.6 
2	0	0	0.125	  0.0	 27.6 
378	0	0	47.125	  0.0	 15.3 
379	0	0	47.250	  0.0	 14.7 
380	0	0	47.375	  0.0	 17.0 
381	0	0	47.500	  0.0	 17.9 
382	0	0	47.625	  0.0	 16.0 
383	0	0	47.750	  0.0	 15.1 
384	0	0	47.875	  0.0	 15.1 
385	0	0	48.000	  0.0	 14.9 
386	0	0	48.125	  0.0	 14.7 
387	0	0	48.250	  0.0	 13.2 
388	0	0	48.375	  0.0	 12.0 
389	0	0	48.500	  0.0	 11.5 
390	0	0	48.625	  0.0	 15.6 
391	0	0	48.750	  0.0	 16.6 
392	0	0	48.875	  0.0	 14.8 
393	0	0	49.000	  0.0	 14.8 
394	0	0	49.125	  0.0	 14.5 
395	0	0	49.250	  0.0	 13.9 
396	0	0	49.375	  0.0	 12.4 
397	0	0	49.500	  0.0	 11.5 
398	0	0	49.625	  0.0	 10.5 
399	0	0	49.750	  0.0	 13.6 
400	0	0	49.875	  0.0	 19.5 
401	0	0	50.000	  0.0	 18.5 
402	0	0	50.125	  0.0	 18.3 
403	0	0	50.250	  0.0	 16.1 
404	0	0	50.375	  0.0	 14.1 
405	0	0	50.500	  0.0	 14.5 
406	0	0	50.625	  0.0	 14.6 
407	0	0	50.750	  0.0	 15.4 
408	0	0	50.875	  0.0	 18.6 
409	0	0	51.000	  0.0	 20.1 
410	0	0	51.125	  0.0	 18.8 
411	0	0	51.250	  0.0	 16.2 
412	0	0	51.375	  0.0	 15.1 
413	0	0	51.500	  0.0	 13.8 
414	0	0	51.625	  0.0	 13.5 
415	0	0	51.750	  0.0	 13.6 
416	0	0	51.875	  0.0	 13.2 
417	0	0	52.000	  0.0	 19.4 
418	0	0	52.125	  0.0	 22.6 
419	0	0	52.250	  0.0	 21.1 
420	0	0	52.375	  0.0	 21.0 
421	0	0	52.500	  0.0	 18.7 
422	0	0	52.625	  0.0	 16.2 
423	0	0	52.750	  0.0	 14.7 
424	0	0	52.875	  0.0	 14.4 
425	0	0	53.000	  0.0	 14.2 
426	0	0	53.125	  0.0	 18.0 
427	0	0	53.250	  0.0	 19.6 
428	0	0	53.375	  0.0	 17.6 
429	0	0	53.500	  0.0	 16.9 
430	0	0	53.625	  0.0	 14.9 
431	0	0	53.750	  0.0	 13.5 
432	0	0	53.875	  0.0	 14.7 
433	0	0	54.000	  0.0	 15.8 
434	0	0	54.125	  0.0	 19.7 
435	0	0	54.250	  0.0	 21.3 
436	0	0	54.375	  0.0	 18.8 
437	0	0	54.500	  0.0	 18.7 
438	0	0	54.625	  0.0	 17.4 
439	0	0	54.750	  0.0	 16.9 
440	0	0	54.875	  0.0	 17.3 
441	0	0	55.000	  0.0	 16.8 
442	0	0	55.125	  0.0	 16.0 
443	0	0	55.250	  0.0	 19.4 
444	0	0	55.375	  0.0	 22.1 
445	0	0	55.500	  0.0	 20.7 
446	0	0	55.625	  0.0	 19.7 
447	0	0	55.750	  0.0	 21.0 
448	0	0	55.875	  0.0	 24.0 
449	0	0	56.000	  0.0	 24.8 
450	0	0	56.125	  0.0	 26.0 
451	0	0	56.250	  0.0	 20.8 
452	0	0	56.375	  0.0	 25.2 
453	0	0	56.500	  0.0	 40.3 
454	0	0	56.625	  0.0	 36.2 
455	0	0	56.750	  0.0	 27.4 
456	0	0	56.875	  0.0	 23.7 
457	0	0	57.000	  0.0	 23.0 
458	0	0	57.125	  0.0	 20.6 
459	0	0	57.250	  0.0	 16.1 
460	0	0	57.375	  0.0	 16.2 
461	0	0	57.500	  0.0	 18.7 
462	0	0	57.625	  0.0	 17.3 
463	0	0	57.750	  0.0	 16.2 
464	0	0	57.875	  0.0	 15.3 
465	0	0	58.000	  0.0	 15.0 
466	0	0	58.125	  0.0	 15.3 
